annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_en_france;nombre_de_gagnant_au_rang1_en_europe;rapport_du_rang1;nombre_de_gagnant_au_rang2_en_france;nombre_de_gagnant_au_rang2_en_europe;rapport_du_rang2;nombre_de_gagnant_au_rang3_en_france;nombre_de_gagnant_au_rang3_en_europe;rapport_du_rang3;nombre_de_gagnant_au_rang4_en_france;nombre_de_gagnant_au_rang4_en_europe;rapport_du_rang4;nombre_de_gagnant_au_rang5_en_france;nombre_de_gagnant_au_rang5_en_europe;rapport_du_rang5;nombre_de_gagnant_au_rang6_en_france;nombre_de_gagnant_au_rang6_en_europe;rapport_du_rang6;nombre_de_gagnant_au_rang7_en_france;nombre_de_gagnant_au_rang7_en_europe;rapport_du_rang7;nombre_de_gagnant_au_rang8_en_france;nombre_de_gagnant_au_rang8_en_europe;rapport_du_rang8;nombre_de_gagnant_au_rang9_en_france;nombre_de_gagnant_au_rang9_en_europe;rapport_du_rang9;nombre_de_gagnant_au_rang10_en_france;nombre_de_gagnant_au_rang10_en_europe;rapport_du_rang10;nombre_de_gagnant_au_rang11_en_france;nombre_de_gagnant_au_rang11_en_europe;rapport_du_rang11;nombre_de_gagnant_au_rang12_en_france;nombre_de_gagnant_au_rang12_en_europe;rapport_du_rang12;numero_jokerplus;devise;Unnamed: 51;nombre_de_gagnant_au_rang13_en_france;nombre_de_gagnant_au_rang13_en_europe;rapport_du_rang13;Unnamed: 54;numero_My_Million;numéro_de_tirage_dans_le_cycle;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_Tirage_Exceptionnel_Euro_Millions;numero_Tirage_Exceptionnel_Euro_Million;Unnamed: 75
2004001;VE;20040213;20040415;32;16;29;41;36;9;7;-16-29-32-36-41-;-7-9-;1.0;1.0;15000000.0;1.0;1.0;2236394,8;4.0;5.0;143957,9;51.0;69.0;10431,7;791.0;1013.0;319,8;1219.0;1512.0;214,3;1982.0;2645.0;179,7;32272.0;41966.0;50,6;28147.0;38093.0;37,3;49346.0;62208.0;22,8;167687.0;222455.0;13,2;456333.0;600554.0;11,1;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004002;VE;20040220;20040422;13;50;47;7;39;2;5;-7-13-39-47-50-;-2-5-;0.0;0.0;0.0;2.0;2.0;593567,9;2.0;2.0;191041,4;26.0;44.0;8683,7;309.0;609.0;282,4;514.0;933.0;184,3;1119.0;2026.0;124,5;14350.0;27546.0;40,9;17846.0;30353.0;24,8;20848.0;38690.0;19,5;96809.0;161756.0;9,6;218710.0;398784.0;8,8;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004003;VE;20040227;20040429;37;19;18;14;31;5;4;-14-18-19-31-37-;-4-5-;0.0;0.0;0.0;2.0;3.0;386709,2;0.0;1.0;373390,3;9.0;17.0;21964,1;213.0;489.0;343,7;293.0;627.0;268;694.0;1407.0;175,2;11675.0;24520.0;44,9;10081.0;21225.0;34,7;16276.0;32967.0;22,4;54698.0;114565.0;13,3;180640.0;368594.0;9,3;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004004;VE;20040305;20040506;39;37;4;7;33;5;1;-4-7-33-37-39-;-1-5-;0.0;1.0;20678070.0;0.0;2.0;615169,7;1.0;2.0;197994;15.0;32.0;12374,6;244.0;486.0;366,8;308.0;675.0;264,1;824.0;1627.0;160,7;11149.0;22975.0;50,8;13536.0;25374.0;30,8;16909.0;35012.0;22,3;75999.0;141099.0;11,4;193247.0;379556.0;9,6;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004005;VE;20040312;20040513;44;47;15;28;24;4;5;-15-24-28-44-47-;-4-5-;0.0;0.0;0.0;0.0;1.0;1077922,3;2.0;2.0;173466,1;11.0;31.0;11191,3;282.0;526.0;296,9;390.0;717.0;217,8;645.0;1322.0;173,3;11561.0;23112.0;44,3;9018.0;20265.0;33,8;15445.0;30541.0;22,4;48218.0;110779.0;12,7;160690.0;344383.0;9,3;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004006;VE;20040319;20040520;42;45;33;37;36;9;4;-33-36-37-42-45-;-4-9-;0.0;0.0;0.0;0.0;2.0;521189,7;1.0;2.0;167746,3;16.0;25.0;13419,7;195.0;368.0;410,4;305.0;569.0;265,4;602.0;1190.0;186,2;8369.0;16888.0;58,6;8775.0;19264.0;34,4;13052.0;26253.0;25,2;46677.0;108909.0;12,5;120647.0;262760.0;11,8;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004007;VE;20040326;20040527;23;43;3;4;10;2;4;-3-4-10-23-43-;-2-4-;0.0;0.0;0.0;0.0;1.0;1111400,5;0.0;2.0;178853,6;16.0;42.0;8516,8;228.0;559.0;288;331.0;830.0;194;847.0;1925.0;122,7;11201.0;26146.0;40,3;11868.0;25183.0;28;16966.0;41468.0;17;61619.0;129560.0;11,2;159833.0;352910.0;9,4;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004008;VE;20040402;20040603;4;24;12;36;27;2;9;-4-12-24-27-36-;-2-9-;0.0;0.0;0.0;4.0;10.0;117258,6;2.0;3.0;125800;24.0;47.0;8029,7;322.0;672.0;252,8;485.0;1034.0;164,3;906.0;1877.0;132,8;13941.0;29456.0;37,8;11671.0;24588.0;30,3;20040.0;44586.0;16,7;57347.0;121914.0;12,6;181527.0;387579.0;9;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004009;VE;20040409;20040610;23;19;10;1;4;2;8;-1-4-10-19-23-;-2-8-;0.0;1.0;25556285.0;2.0;4.0;279457,2;6.0;6.0;59962,7;30.0;61.0;5897,9;471.0;844.0;191,9;841.0;1590.0;101,8;1433.0;2567.0;92,5;17488.0;32958.0;32,2;16450.0;31708.0;22,4;28772.0;55189.0;12,8;72721.0;146908.0;10;186492.0;369527.0;9;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004010;VE;20040416;20040617;28;40;14;15;35;3;1;-14-15-28-35-40-;-1-3-;0.0;0.0;0.0;1.0;2.0;524993,3;0.0;3.0;112647;11.0;31.0;10901,3;219.0;528.0;288,1;419.0;977.0;155,7;576.0;1388.0;160,8;9293.0;22142.0;45;8086.0;18905.0;35,3;14443.0;36985.0;18;43965.0;100386.0;13,7;130184.0;310418.0;10;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
