annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_en_france;nombre_de_gagnant_au_rang1_en_europe;rapport_du_rang1;nombre_de_gagnant_au_rang2_en_france;nombre_de_gagnant_au_rang2_en_europe;rapport_du_rang2;nombre_de_gagnant_au_rang3_en_france;nombre_de_gagnant_au_rang3_en_europe;rapport_du_rang3;nombre_de_gagnant_au_rang4_en_france;nombre_de_gagnant_au_rang4_en_europe;rapport_du_rang4;nombre_de_gagnant_au_rang5_en_france;nombre_de_gagnant_au_rang5_en_europe;rapport_du_rang5;nombre_de_gagnant_au_rang6_en_france;nombre_de_gagnant_au_rang6_en_europe;rapport_du_rang6;nombre_de_gagnant_au_rang7_en_france;nombre_de_gagnant_au_rang7_en_europe;rapport_du_rang7;nombre_de_gagnant_au_rang8_en_france;nombre_de_gagnant_au_rang8_en_europe;rapport_du_rang8;nombre_de_gagnant_au_rang9_en_france;nombre_de_gagnant_au_rang9_en_europe;rapport_du_rang9;nombre_de_gagnant_au_rang10_en_france;nombre_de_gagnant_au_rang10_en_europe;rapport_du_rang10;nombre_de_gagnant_au_rang11_en_france;nombre_de_gagnant_au_rang11_en_europe;rapport_du_rang11;nombre_de_gagnant_au_rang12_en_france;nombre_de_gagnant_au_rang12_en_europe;rapport_du_rang12;numero_jokerplus;devise;nombre_de_gagnant_au_rang13_en_france;nombre_de_gagnant_au_rang13_en_europe;rapport_du_rang13;numero_My_Million;numéro_de_tirage_dans_le_cycle;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_Tirage_Exceptionnel_Euro_Millions;numero_Tirage_Exceptionnel_Euro_Million
2004001;VE;2004-02-13;2004-04-15;32;16;29;41;36;9;7;-16-29-32-36-41-;-7-9-;1;1;15000000.0;1;1;2236394.8;4;5;143957.9;51;69;10431.7;791;1013;319.8;1219;1512;214.3;1982;2645;179.7;32272;41966;50.6;28147;38093;37.3;49346;62208;22.8;167687;222455;13.2;456333;600554;11.1;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004002;VE;2004-02-20;2004-04-22;13;50;47;7;39;2;5;-7-13-39-47-50-;-2-5-;0;0;0.0;2;2;593567.9;2;2;191041.4;26;44;8683.7;309;609;282.4;514;933;184.3;1119;2026;124.5;14350;27546;40.9;17846;30353;24.8;20848;38690;19.5;96809;161756;9.6;218710;398784;8.8;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004003;VE;2004-02-27;2004-04-29;37;19;18;14;31;5;4;-14-18-19-31-37-;-4-5-;0;0;0.0;2;3;386709.2;0;1;373390.3;9;17;21964.1;213;489;343.7;293;627;268.0;694;1407;175.2;11675;24520;44.9;10081;21225;34.7;16276;32967;22.4;54698;114565;13.3;180640;368594;9.3;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004004;VE;2004-03-05;2004-05-06;39;37;4;7;33;5;1;-4-7-33-37-39-;-1-5-;0;1;20678070.0;0;2;615169.7;1;2;197994.0;15;32;12374.6;244;486;366.8;308;675;264.1;824;1627;160.7;11149;22975;50.8;13536;25374;30.8;16909;35012;22.3;75999;141099;11.4;193247;379556;9.6;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004005;VE;2004-03-12;2004-05-13;44;47;15;28;24;4;5;-15-24-28-44-47-;-4-5-;0;0;0.0;0;1;1077922.3;2;2;173466.1;11;31;11191.3;282;526;296.9;390;717;217.8;645;1322;173.3;11561;23112;44.3;9018;20265;33.8;15445;30541;22.4;48218;110779;12.7;160690;344383;9.3;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004006;VE;2004-03-19;2004-05-20;42;45;33;37;36;9;4;-33-36-37-42-45-;-4-9-;0;0;0.0;0;2;521189.7;1;2;167746.3;16;25;13419.7;195;368;410.4;305;569;265.4;602;1190;186.2;8369;16888;58.6;8775;19264;34.4;13052;26253;25.2;46677;108909;12.5;120647;262760;11.8;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004007;VE;2004-03-26;2004-05-27;23;43;3;4;10;2;4;-3-4-10-23-43-;-2-4-;0;0;0.0;0;1;1111400.5;0;2;178853.6;16;42;8516.8;228;559;288.0;331;830;194.0;847;1925;122.7;11201;26146;40.3;11868;25183;28.0;16966;41468;17.0;61619;129560;11.2;159833;352910;9.4;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004008;VE;2004-04-02;2004-06-03;4;24;12;36;27;2;9;-4-12-24-27-36-;-2-9-;0;0;0.0;4;10;117258.6;2;3;125800.0;24;47;8029.7;322;672;252.8;485;1034;164.3;906;1877;132.8;13941;29456;37.8;11671;24588;30.3;20040;44586;16.7;57347;121914;12.6;181527;387579;9.0;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004009;VE;2004-04-09;2004-06-10;23;19;10;1;4;2;8;-1-4-10-19-23-;-2-8-;0;1;25556285.0;2;4;279457.2;6;6;59962.7;30;61;5897.9;471;844;191.9;841;1590;101.8;1433;2567;92.5;17488;32958;32.2;16450;31708;22.4;28772;55189;12.8;72721;146908;10.0;186492;369527;9.0;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004010;VE;2004-04-16;2004-06-17;28;40;14;15;35;3;1;-14-15-28-35-40-;-1-3-;0;0;0.0;1;2;524993.3;0;3;112647.0;11;31;10901.3;219;528;288.1;419;977;155.7;576;1388;160.8;9293;22142;45.0;8086;18905;35.3;14443;36985;18.0;43965;100386;13.7;130184;310418;10.0;;eur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
