annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;Unnamed: 25;boule_6;boule_complementaire;nombre_de_gagnant_au_rang7;rapport_du_rang7;Unnamed: 28;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;Unnamed: 34
1996001;ME;19960515;19960715;5;28;47;20;49;;2-5-20-28-47-49;2;50480970;17;367740;524;29455;0;0;30355;689;0;0;;frf;;2.0;18.0;553701.0;48;;;;;;;;;
1997001;JE;19970213;19970414;17;38;2;11;1;;1-2-11-17-28-38;0;0;6;794775;349;34810;0;0;21628;763;0;0;;frf;;28.0;23.0;452936.0;46;;;;;;;;;
1997002;JE;19970320;19970520;45;11;15;5;22;;5-9-11-15-22-45;1;150077770;20;257075;860;14795;0;0;42189;405;0;0;;frf;;9.0;8.0;642944.0;34;;;;;;;;;
1998001;VE;19980313;19980512;41;44;27;39;40;;27-39-40-41-42-44;1;100080720;15;352020;424;30715;0;0;20376;867;0;0;;frf;;42.0;25.0;319712.0;71;;;;;;;;;
1998002;VE;19981002;19981201;22;45;19;10;11;;10-11-19-22-28-45;1;100022040;5;686035;306;28425;0;0;19268;612;0;0;;frf;;28.0;3.0;354974.0;42;;;;;;;;;
1998003;VE;19981113;19990112;24;38;43;35;5;;5-15-24-35-38-43;1;100024920;6;905865;457;30005;1259;1580;25447;790;34428;102;;frf;;15.0;46.0;482500.0;51;;;;;;;;;
1999001;DI;19990214;19990415;10;45;39;11;1;;1-2-10-11-39-45;0;0;17;5885605;381;25935;1816;1258;21651;629;48287;84;;frf;;2.0;9.0;382579.0;42;;;;;;;;;
1999002;VE;19991231;20000229;1;49;15;6;28;;1-6-11-15-28-49;2;50047950;29;153185;764;13950;2036;898;33762;449;45583;70;;frf;;11.0;23.0;526068.0;35;;;;;;;;;
2000001;LU;20000214;20000414;40;1;23;46;42;;1-6-23-40-42-46;5;20007380;4;730355;336;21780;693;1514;14144;757;20118;100;;frf;;6.0;8.0;256363.0;50;;;;;;;;;
2000002;DI;20000528;20000727;6;19;46;8;47;;6-8-14-19-46-47;2;50019215;10;313085;288;26330;578;1396;16333;698;17211;92;;frf;;14.0;43.0;300868.0;46;;;;;;;;;
2000003;VE;20001013;20001212;9;24;45;31;13;;9-13-24-31-43-45;4;25016485;17;293980;661;18365;1786;1114;31352;557;47305;78;;frf;;43.0;3.0;526232.0;39;;;;;;;;;
2001001;VE;20010413;20010612;34;44;10;12;14;;10-12-14-34-42-44;0;0;11;422535;465;24335;1041;1602;20656;801;27677;100;;frf;;42.0;46.0;408098.0;50;;;;;;;;;
2001002;VE;20010518;20010717;43;9;12;45;28;;8-9-12-28-43-45;1;100048980;4;922480;395;23660;850;1324;20989;662;24186;86;;frf;;8.0;34.0;391029.0;43;;;;;;;;;
2001003;VE;20010615;20010814;31;3;18;48;36;;3-18-31-36-43-48;7;22950110;19;243065;624;17915;1055;1412;23267;706;26256;102;;frf;;43.0;20.0;389061.0;51;;;;;;;;;
2001004;VE;20010713;20010911;14;29;45;23;9;;9-14-23-25-29-45;1;15008738,38;6;108796;353;4613,11;21863;108,54;1157;217,09;32331;13,72;;frf;;25.0;8.0;421171.0;6,86;;;;;;;;;
2002001;VE;20020913;20021112;38;2;24;11;28;;2-11-24-28-35-38;0;0;6;132997;463;4336,6;1212;216,6;27447;108,3;38133;13,8;;eur;;35.0;26.0;517658.0;6,9;;;;;;;;;
2002002;VE;20020920;20021119;38;2;12;16;6;;2-6-12-16-38-48;0;0;6;79436,3;310;3779,8;1027;200;16793;100;29440;12,8;;eur;;48.0;10.0;312478.0;6,4;;;;;;;;;
2002003;VE;20021122;20030121;5;20;28;8;49;;5-8-20-28-29-49;3;8333334;21;52516,9;707;3786,4;2545;194,6;39199;97,3;71120;13;;eur;;29.0;11.0;690599.0;6,5;;;;;;;;;
2002004;VE;20021213;20030211;7;48;33;16;31;;7-16-24-31-33-48;5;3000000;19;48354,4;659;3383,6;1664;205,6;31535;102,8;42993;14;;eur;;24.0;37.0;560425.0;7;;;;;;;;;
